HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
51.9 %	21.71 ms
51.9 %	25.36 ms
52.2 %	21.60 ms
52.2 %	20.37 ms
52.5 %	23.90 ms
52.7 %	16.62 ms
52.9 %	13.96 ms
53.0 %	17.91 ms
53.1 %	14.10 ms
53.2 %	18.92 ms
53.4 %	17.18 ms
53.4 %	20.40 ms
53.4 %	15.14 ms
53.5 %	20.02 ms
53.5 %	25.21 ms
53.9 %	24.32 ms
54.4 %	24.90 ms
54.5 %	20.95 ms
54.5 %	24.87 ms
54.5 %	24.70 ms
54.6 %	22.69 ms
54.7 %	23.20 ms
54.8 %	14.54 ms
54.9 %	18.94 ms
55.1 %	15.33 ms
55.2 %	18.84 ms
55.3 %	19.41 ms
55.3 %	14.02 ms
55.6 %	24.91 ms
55.7 %	15.03 ms
56.2 %	22.86 ms
56.6 %	14.16 ms
56.9 %	19.45 ms
57.2 %	19.55 ms
57.2 %	22.89 ms
57.3 %	16.71 ms
57.4 %	24.62 ms
57.6 %	24.27 ms
57.7 %	15.09 ms
57.8 %	14.57 ms
58.1 %	16.92 ms
58.2 %	25.08 ms
58.5 %	20.31 ms
58.5 %	15.78 ms
58.5 %	15.04 ms
58.6 %	25.09 ms
58.7 %	17.21 ms
58.8 %	16.20 ms
58.8 %	16.10 ms
58.8 %	20.12 ms
58.9 %	23.15 ms
59.2 %	21.80 ms
59.3 %	19.30 ms
59.3 %	22.16 ms
59.5 %	21.42 ms
60.0 %	22.17 ms
60.1 %	17.47 ms
60.7 %	26.85 ms
60.9 %	18.25 ms
61.1 %	21.70 ms
61.2 %	15.77 ms
61.2 %	26.37 ms
61.3 %	16.67 ms
61.3 %	21.58 ms
61.4 %	26.77 ms
61.6 %	21.03 ms
61.8 %	23.90 ms
61.9 %	17.55 ms
62.0 %	15.56 ms
62.0 %	24.97 ms
62.0 %	16.00 ms
62.1 %	18.74 ms
62.7 %	23.98 ms
62.9 %	18.03 ms
62.9 %	17.25 ms
63.1 %	26.20 ms
63.2 %	15.30 ms
63.3 %	22.88 ms
63.4 %	22.53 ms
63.4 %	18.00 ms
63.6 %	24.90 ms
63.6 %	19.15 ms
63.7 %	20.29 ms
64.0 %	14.84 ms
64.1 %	21.54 ms
64.3 %	17.10 ms
64.5 %	17.49 ms
64.8 %	25.37 ms
65.0 %	21.02 ms
65.3 %	19.53 ms
65.5 %	22.67 ms
65.6 %	21.27 ms
65.7 %	22.30 ms
65.8 %	20.58 ms
65.9 %	23.44 ms
66.3 %	22.57 ms
66.3 %	17.95 ms
66.5 %	24.61 ms
66.7 %	27.42 ms
66.7 %	22.50 ms
66.7 %	17.25 ms
66.8 %	23.63 ms
67.1 %	20.20 ms
67.1 %	17.08 ms
67.1 %	20.90 ms
67.2 %	22.28 ms
67.3 %	18.83 ms
67.4 %	18.05 ms
67.4 %	20.66 ms
67.7 %	24.82 ms
67.9 %	27.57 ms
68.6 %	19.60 ms
68.9 %	18.02 ms
68.9 %	17.49 ms
68.9 %	18.99 ms
69.0 %	26.70 ms
69.1 %	27.51 ms
69.1 %	23.39 ms
69.2 %	22.30 ms
69.3 %	27.24 ms
69.3 %	27.02 ms
69.6 %	26.84 ms
69.8 %	27.44 ms
69.8 %	23.87 ms
69.9 %	26.33 ms
70.1 %	27.87 ms
70.1 %	20.03 ms
70.7 %	26.16 ms
71.0 %	22.71 ms
72.0 %	21.07 ms
72.1 %	25.86 ms
73.2 %	19.85 ms
74.3 %	27.53 ms
74.6 %	18.92 ms
74.6 %	18.64 ms
75.3 %	22.11 ms
76.0 %	18.39 ms
76.2 %	22.44 ms
76.4 %	25.32 ms
76.7 %	20.45 ms
76.9 %	23.49 ms
77.2 %	24.49 ms
77.9 %	26.92 ms
78.0 %	25.68 ms
78.3 %	20.23 ms
78.3 %	19.95 ms
78.3 %	28.80 ms
78.5 %	24.48 ms
78.6 %	27.59 ms
