HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
55.3 %	16.97 ms
55.3 %	10.44 ms
55.5 %	13.30 ms
55.6 %	16.02 ms
55.7 %	18.96 ms
55.8 %	18.37 ms
55.8 %	11.99 ms
55.8 %	18.43 ms
56.1 %	16.61 ms
56.2 %	15.41 ms
56.3 %	15.67 ms
56.7 %	14.88 ms
56.7 %	17.39 ms
57.0 %	13.65 ms
57.1 %	12.30 ms
57.1 %	14.53 ms
57.1 %	14.44 ms
57.1 %	13.02 ms
57.2 %	17.25 ms
57.2 %	19.65 ms
57.6 %	15.42 ms
57.9 %	19.66 ms
58.0 %	13.17 ms
58.1 %	15.57 ms
58.2 %	15.53 ms
58.5 %	14.99 ms
58.7 %	15.60 ms
58.9 %	12.13 ms
59.0 %	12.40 ms
59.0 %	12.63 ms
59.1 %	13.49 ms
59.3 %	10.86 ms
59.4 %	12.63 ms
59.7 %	12.27 ms
60.0 %	18.45 ms
60.3 %	10.85 ms
60.5 %	18.44 ms
60.5 %	19.08 ms
60.6 %	13.68 ms
60.8 %	17.24 ms
60.9 %	18.74 ms
61.0 %	10.31 ms
61.2 %	12.67 ms
61.3 %	18.05 ms
61.5 %	13.68 ms
61.5 %	11.28 ms
61.8 %	15.85 ms
61.8 %	12.21 ms
62.0 %	15.36 ms
62.1 %	15.88 ms
62.1 %	17.74 ms
62.1 %	17.62 ms
62.2 %	18.78 ms
62.4 %	12.43 ms
62.5 %	14.84 ms
62.8 %	13.44 ms
63.0 %	19.14 ms
63.3 %	12.60 ms
63.3 %	17.12 ms
63.9 %	19.88 ms
64.2 %	15.78 ms
64.2 %	16.41 ms
64.2 %	18.19 ms
64.7 %	19.50 ms
64.8 %	14.80 ms
64.9 %	18.18 ms
65.1 %	14.84 ms
65.3 %	17.50 ms
65.4 %	15.79 ms
65.4 %	16.31 ms
65.5 %	20.52 ms
65.5 %	18.91 ms
66.0 %	17.23 ms
66.5 %	19.62 ms
66.5 %	13.21 ms
66.7 %	17.06 ms
66.7 %	16.79 ms
66.7 %	19.50 ms
66.9 %	19.54 ms
66.9 %	16.71 ms
67.4 %	12.35 ms
67.5 %	17.32 ms
67.7 %	14.50 ms
67.8 %	13.48 ms
67.8 %	20.36 ms
67.9 %	16.92 ms
67.9 %	17.78 ms
68.0 %	13.00 ms
68.0 %	17.34 ms
68.2 %	13.27 ms
68.2 %	13.21 ms
68.4 %	12.29 ms
68.4 %	17.69 ms
68.7 %	12.85 ms
68.7 %	18.60 ms
68.7 %	18.72 ms
68.8 %	15.61 ms
69.1 %	17.88 ms
69.2 %	15.25 ms
69.3 %	17.03 ms
69.3 %	14.69 ms
69.4 %	17.79 ms
69.5 %	16.85 ms
69.7 %	17.05 ms
69.9 %	15.68 ms
69.9 %	18.55 ms
70.0 %	17.16 ms
70.1 %	12.87 ms
70.1 %	15.60 ms
70.2 %	20.82 ms
70.3 %	19.33 ms
70.7 %	15.64 ms
70.8 %	14.11 ms
70.9 %	11.38 ms
71.0 %	16.55 ms
71.3 %	18.51 ms
71.3 %	14.59 ms
71.5 %	13.73 ms
72.2 %	15.56 ms
72.3 %	13.49 ms
73.1 %	19.04 ms
73.5 %	16.23 ms
73.6 %	20.07 ms
74.1 %	16.98 ms
74.2 %	17.63 ms
74.5 %	18.88 ms
74.5 %	12.03 ms
75.3 %	12.85 ms
75.4 %	17.15 ms
75.5 %	18.71 ms
75.6 %	19.17 ms
75.9 %	16.35 ms
76.2 %	16.46 ms
76.2 %	18.92 ms
76.2 %	19.76 ms
76.2 %	16.60 ms
76.4 %	13.56 ms
77.1 %	18.75 ms
77.1 %	16.48 ms
78.1 %	14.58 ms
78.5 %	20.31 ms
78.6 %	15.04 ms
78.8 %	15.99 ms
78.8 %	19.03 ms
78.9 %	21.55 ms
79.0 %	18.06 ms
79.0 %	17.90 ms
79.0 %	15.03 ms
79.4 %	18.00 ms
79.6 %	16.10 ms
79.6 %	20.12 ms
79.6 %	20.65 ms
79.7 %	18.92 ms
79.8 %	19.95 ms
79.8 %	14.66 ms
79.8 %	14.26 ms
80.3 %	17.90 ms
80.6 %	14.76 ms
80.8 %	17.92 ms
80.9 %	20.30 ms
81.1 %	21.53 ms
81.1 %	18.68 ms
81.6 %	19.51 ms
81.6 %	13.51 ms
81.9 %	18.83 ms
81.9 %	20.75 ms
82.3 %	20.49 ms
82.4 %	15.21 ms
82.6 %	14.35 ms
82.9 %	13.82 ms
