HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
39.2 %	17.94 ms
39.3 %	14.35 ms
39.4 %	16.51 ms
39.4 %	18.66 ms
39.4 %	14.04 ms
39.5 %	16.36 ms
39.6 %	13.86 ms
39.8 %	19.42 ms
39.8 %	17.32 ms
39.8 %	12.70 ms
40.1 %	15.31 ms
40.1 %	14.28 ms
40.1 %	12.76 ms
40.2 %	17.86 ms
40.2 %	13.16 ms
40.2 %	14.55 ms
40.3 %	18.35 ms
40.5 %	19.83 ms
40.8 %	13.40 ms
40.8 %	16.25 ms
41.0 %	12.58 ms
41.0 %	17.45 ms
41.0 %	13.65 ms
41.1 %	18.52 ms
41.2 %	18.47 ms
41.5 %	16.29 ms
41.7 %	20.54 ms
42.1 %	19.56 ms
42.2 %	12.66 ms
42.2 %	19.64 ms
42.3 %	18.22 ms
42.4 %	19.90 ms
42.5 %	15.45 ms
42.5 %	17.80 ms
42.5 %	16.11 ms
42.5 %	17.90 ms
42.7 %	18.51 ms
42.8 %	14.58 ms
42.9 %	16.41 ms
43.0 %	13.63 ms
43.2 %	13.37 ms
43.3 %	16.58 ms
43.4 %	16.01 ms
43.7 %	19.96 ms
43.7 %	21.06 ms
43.9 %	18.84 ms
44.0 %	15.63 ms
44.0 %	17.46 ms
44.1 %	19.05 ms
44.3 %	19.37 ms
44.8 %	12.65 ms
44.9 %	15.06 ms
44.9 %	13.67 ms
44.9 %	13.50 ms
45.0 %	16.59 ms
45.1 %	16.88 ms
45.1 %	14.06 ms
45.7 %	19.96 ms
45.7 %	17.53 ms
45.8 %	21.57 ms
45.9 %	13.11 ms
46.0 %	14.63 ms
46.0 %	14.53 ms
46.1 %	17.95 ms
46.1 %	19.61 ms
46.1 %	19.82 ms
46.2 %	18.89 ms
46.3 %	14.14 ms
46.4 %	14.33 ms
46.5 %	16.76 ms
46.5 %	20.60 ms
46.6 %	13.36 ms
46.6 %	16.29 ms
46.6 %	17.07 ms
46.7 %	16.54 ms
46.8 %	13.97 ms
46.8 %	18.21 ms
46.9 %	14.10 ms
46.9 %	15.82 ms
47.1 %	15.04 ms
47.2 %	17.71 ms
47.2 %	20.34 ms
47.4 %	16.05 ms
47.4 %	16.20 ms
47.5 %	14.75 ms
47.8 %	18.96 ms
47.9 %	21.10 ms
47.9 %	17.73 ms
47.9 %	20.57 ms
48.1 %	17.98 ms
48.3 %	18.09 ms
48.3 %	15.85 ms
48.3 %	17.03 ms
48.4 %	15.93 ms
48.4 %	19.06 ms
48.5 %	18.75 ms
48.5 %	19.55 ms
48.5 %	17.79 ms
48.6 %	17.66 ms
48.9 %	19.67 ms
49.1 %	14.61 ms
49.2 %	19.27 ms
49.4 %	18.84 ms
49.5 %	19.31 ms
49.5 %	18.30 ms
50.0 %	13.48 ms
50.2 %	14.20 ms
50.3 %	22.33 ms
50.5 %	16.24 ms
50.5 %	13.02 ms
50.6 %	20.27 ms
50.8 %	20.11 ms
50.8 %	16.01 ms
51.1 %	17.87 ms
51.4 %	20.34 ms
51.5 %	14.90 ms
51.5 %	18.96 ms
51.9 %	19.95 ms
52.0 %	15.16 ms
52.1 %	20.36 ms
52.1 %	13.70 ms
52.1 %	16.18 ms
52.2 %	13.98 ms
52.2 %	19.47 ms
52.7 %	19.72 ms
53.0 %	14.24 ms
53.0 %	18.37 ms
53.3 %	17.69 ms
53.4 %	16.39 ms
53.5 %	20.44 ms
53.5 %	14.12 ms
53.6 %	16.89 ms
53.6 %	15.97 ms
53.9 %	19.55 ms
54.0 %	18.17 ms
54.1 %	15.92 ms
54.2 %	16.56 ms
54.2 %	20.71 ms
54.2 %	21.42 ms
54.2 %	19.23 ms
54.7 %	15.67 ms
54.9 %	16.41 ms
55.0 %	17.14 ms
55.0 %	21.25 ms
55.1 %	16.63 ms
55.3 %	17.90 ms
55.4 %	15.82 ms
55.5 %	20.93 ms
55.5 %	20.52 ms
55.5 %	22.01 ms
55.6 %	17.94 ms
55.8 %	19.17 ms
55.9 %	16.22 ms
56.0 %	17.51 ms
56.5 %	17.42 ms
56.6 %	20.85 ms
56.7 %	17.85 ms
56.8 %	21.21 ms
57.3 %	17.01 ms
57.4 %	16.71 ms
57.4 %	18.70 ms
57.5 %	15.78 ms
57.9 %	15.01 ms
58.0 %	16.53 ms
58.0 %	18.02 ms
58.2 %	20.09 ms
58.2 %	23.01 ms
58.7 %	16.30 ms
58.7 %	22.12 ms
58.9 %	16.49 ms
58.9 %	23.34 ms
59.1 %	18.91 ms
59.2 %	15.77 ms
59.3 %	21.50 ms
59.3 %	23.20 ms
59.4 %	14.08 ms
