HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
54.6 %	18.47 ms
54.7 %	7.24 ms
54.8 %	0.25 ms
54.9 %	0.09 ms
55.1 %	6.56 ms
55.2 %	4.48 ms
55.3 %	4.30 ms
55.3 %	0.33 ms
55.6 %	8.03 ms
55.7 %	4.55 ms
56.2 %	19.99 ms
56.6 %	6.16 ms
56.9 %	8.16 ms
57.2 %	4.96 ms
57.2 %	5.79 ms
57.3 %	8.31 ms
57.4 %	8.64 ms
57.6 %	5.35 ms
57.7 %	5.46 ms
57.8 %	5.09 ms
58.1 %	7.07 ms
58.2 %	7.49 ms
58.5 %	7.31 ms
58.5 %	19.44 ms
58.5 %	3.29 ms
58.6 %	5.17 ms
58.7 %	19.39 ms
58.8 %	4.39 ms
58.8 %	4.41 ms
58.8 %	8.71 ms
58.9 %	0.09 ms
59.2 %	7.24 ms
59.3 %	4.67 ms
59.3 %	6.05 ms
59.5 %	5.76 ms
60.0 %	5.91 ms
60.1 %	6.35 ms
60.7 %	6.08 ms
60.9 %	0.09 ms
61.1 %	7.74 ms
61.2 %	6.27 ms
61.2 %	0.09 ms
61.3 %	0.11 ms
61.3 %	4.49 ms
61.4 %	6.86 ms
61.6 %	5.70 ms
61.8 %	3.79 ms
61.9 %	7.58 ms
62.0 %	63.33 ms
62.0 %	5.73 ms
62.0 %	5.48 ms
62.1 %	6.62 ms
62.7 %	5.55 ms
62.9 %	7.64 ms
62.9 %	11.06 ms
63.1 %	0.10 ms
63.2 %	7.47 ms
63.3 %	0.10 ms
63.4 %	5.38 ms
63.4 %	0.24 ms
63.6 %	0.09 ms
63.6 %	8.88 ms
63.7 %	8.24 ms
64.0 %	5.45 ms
64.1 %	5.82 ms
64.3 %	6.36 ms
64.5 %	5.57 ms
64.8 %	7.49 ms
65.0 %	6.39 ms
65.3 %	10.86 ms
65.5 %	0.50 ms
65.6 %	7.15 ms
65.7 %	5.03 ms
65.8 %	0.26 ms
65.9 %	4.03 ms
66.3 %	4.77 ms
66.3 %	7.58 ms
66.5 %	5.32 ms
66.7 %	6.22 ms
66.7 %	0.09 ms
66.7 %	0.09 ms
66.8 %	0.10 ms
67.1 %	0.35 ms
67.1 %	6.79 ms
67.1 %	0.34 ms
67.2 %	20.02 ms
67.3 %	5.49 ms
67.4 %	0.14 ms
67.4 %	6.23 ms
67.7 %	4.94 ms
67.9 %	5.77 ms
68.6 %	0.26 ms
68.9 %	0.09 ms
68.9 %	6.06 ms
68.9 %	9.49 ms
69.0 %	5.55 ms
69.1 %	4.43 ms
69.1 %	6.94 ms
69.2 %	6.48 ms
69.3 %	7.27 ms
69.3 %	8.33 ms
69.6 %	7.39 ms
69.8 %	5.20 ms
69.8 %	0.09 ms
69.9 %	7.98 ms
70.1 %	6.21 ms
70.1 %	21.16 ms
70.7 %	5.25 ms
71.0 %	5.26 ms
72.0 %	4.38 ms
72.1 %	5.45 ms
73.2 %	9.91 ms
74.3 %	1.50 ms
74.6 %	0.09 ms
74.6 %	6.05 ms
75.3 %	0.09 ms
76.0 %	5.79 ms
76.2 %	4.64 ms
76.4 %	4.68 ms
76.7 %	8.85 ms
76.9 %	4.61 ms
77.2 %	4.02 ms
77.9 %	0.09 ms
78.0 %	0.09 ms
78.3 %	0.17 ms
78.3 %	6.59 ms
78.3 %	6.22 ms
78.5 %	6.81 ms
78.6 %	0.10 ms
78.7 %	8.80 ms
79.0 %	6.26 ms
79.3 %	6.12 ms
79.6 %	6.19 ms
79.9 %	4.23 ms
80.1 %	6.36 ms
80.2 %	6.93 ms
80.4 %	5.44 ms
80.5 %	6.22 ms
80.7 %	4.52 ms
80.8 %	5.89 ms
81.1 %	17.12 ms
82.1 %	6.39 ms
82.1 %	5.86 ms
82.5 %	5.89 ms
82.6 %	6.54 ms
83.4 %	8.87 ms
